"EmployeeID";"FirstName";"LastName";"Gender";"DateOfBirth";"Email";"Phone";"City";"DepartmentID";"Designation";"JoiningDate";"Salary"
1;"Libni";"Goswami";"Female";"1998-07-27";"chaturabose@company.com";"9272293156";"Delhi";2;"Team Lead";"2024-04-13";65525.0
2;"Laksh";"Sharma";"Male";"1999-11-11";"landra@company.com";"7375940806";"Gurugram";6;"Manager";"2021-08-10";37018.0
3;"Anamika";"Chaudhari";"Female";"1971-08-30";"baghyawati97@company.com";"4605283238";"Bengaluru";7;"Senior Executive";"2022-12-12";32494.0
4;"Aadi";"Saraf";"Male";"1973-10-18";"hpadmanabhan@company.com";"4906474834";"Delhi";4;"Manager";"2022-09-16";87237.0
5;"Inaya";"Brahmbhatt";"Female";"1986-03-03";"zayyan42@company.com";"8399114588";"Lucknow";2;"Intern";"2023-01-29";43026.0
6;"Mason";"Dugal";"Male";"1997-11-04";"fkashyap@company.com";"8797287593";"Faridabad";7;"Manager";"2025-09-04";66913.0
7;"Nisha";"Johal";"Female";"1991-02-25";"ksuresh@company.com";"2482782912";"Ghaziabad";4;"Executive";"2025-03-19";74586.0
8;"Eesha";"Vora";"Female";"1990-09-27";"xdhingra@company.com";"1948227756";"Gurugram";5;"Executive";"2023-02-09";57537.0
9;"Panini";"Datta";"Female";"1995-07-30";"bbadal@company.com";"8961229378";"Gurugram";2;"Intern";"2024-08-08";30500.0
10;"Mekhala";"Agate";"Female";"1972-11-13";"lila68@company.com";"1396982515";"Jaipur";2;"Team Lead";"2024-04-14";95150.0
11;"Girish";"Magar";"Male";"1989-03-01";"harinirajan@company.com";"5091922748";"Noida";5;"Executive";"2022-06-21";79592.0
12;"Aadi";"Gaba";"Male";"2003-09-28";"chakrikakashyap@company.com";"2018883370";"Bengaluru";6;"Intern";"2022-10-20";62900.0
13;"Balhaar";"Sathe";"Male";"1987-09-27";"duttadvik@company.com";"3141942097";"Bengaluru";4;"Team Lead";"2024-12-04";33607.0
14;"Wishi";"Chhabra";"Female";"1995-07-05";"nrajagopalan@company.com";"3048359710";"Delhi";2;"Team Lead";"2019-08-30";109312.0
15;"Zayan";"Naik";"Male";"2002-05-30";"vedanttoor@company.com";"9732031875";"Faridabad";3;"Intern";"2023-09-18";112909.0
16;"Yashasvi";"Naidu";"Female";"1983-06-30";"lucky86@company.com";"7699957294";"Delhi";5;"Intern";"2021-10-11";54342.0
17;"Advik";"Bajaj";"Male";"1985-09-14";"nandiniganesh@company.com";"4470359545";"Chandigarh";2;"Intern";"2025-01-01";110779.0
18;"Isaac";"Walla";"Male";"1990-02-16";"vedant74@company.com";"3065596761";"Ghaziabad";6;"Executive";"2026-01-13";35948.0
19;"Aarush";"Gour";"Male";"1980-11-09";"rmenon@company.com";"9905772634";"Ghaziabad";5;"Executive";"2021-08-18";32583.0
20;"Samar";"Dar";"Male";"1997-12-21";"krishanadig@company.com";"3266554799";"Noida";3;"Team Lead";"2020-06-10";106894.0
21;"Chandani";"Dara";"Female";"1989-12-09";"nilimaacharya@company.com";"5959962006";"Delhi";4;"Intern";"2019-03-24";95980.0
22;"Faqid";"Chandran";"Male";"1971-11-02";"pingleyash@company.com";"1412337355";"Jaipur";1;"Executive";"2018-11-13";88587.0
23;"Joshua";"Varty";"Male";"2004-06-15";"saxenazayan@company.com";"0516571409";"Jaipur";3;"Team Lead";"2023-12-09";99694.0
24;"Idika";"Boase";"Female";"2000-03-31";"balaanya@company.com";"6435986301";"Ghaziabad";6;"Intern";"2021-08-06";31954.0
25;"Jeevika";"Kothari";"Female";"1986-07-18";"tankvasudha@company.com";"5161840992";"Noida";2;"Team Lead";"2026-05-20";112026.0
26;"Bina";"Dayal";"Female";"1986-12-12";"ranbirdivan@company.com";"1060909332";"Ghaziabad";7;"Manager";"2022-07-22";101830.0
27;"Victor";"Bal";"Male";"1993-10-06";"lcomar@company.com";"9680411478";"Chandigarh";2;"Executive";"2022-04-19";26249.0
28;"Tara";"Magar";"Female";"1978-04-16";"bbandi@company.com";"9795635414";"Noida";1;"Intern";"2024-09-25";117973.0
29;"Lajita";"Sandal";"Female";"1984-05-29";"karpesiya@company.com";"2610981949";"Jaipur";5;"Team Lead";"2023-09-27";32390.0
30;"Aachal";"Saini";"Female";"1975-12-22";"yachanabarad@company.com";"1825914152";"Delhi";2;"Manager";"2024-01-31";32956.0
31;"Sudiksha";"Suri";"Female";"1972-02-23";"opalla@company.com";"6206919273";"Pune";7;"Manager";"2026-05-02";57685.0
32;"Nilima";"Saxena";"Female";"1992-10-09";"senguptafaqid@company.com";"6662278758";"Bengaluru";4;"Manager";"2018-07-12";44712.0
33;"Lucky";"Kalla";"Male";"1991-02-20";"jkapoor@company.com";"9149560122";"Delhi";2;"Intern";"2022-05-22";96624.0
34;"Pooja";"Ramachandran";"Female";"1984-07-22";"triya50@company.com";"9257935612";"Delhi";7;"Manager";"2026-05-08";116634.0
35;"Charvi";"Sarin";"Female";"1997-12-27";"chamankhurana@company.com";"8752154462";"Delhi";6;"Associate";"2023-02-12";113771.0
36;"Bishakha";"Mishra";"Female";"1971-03-07";"sanyarattan@company.com";"8127633175";"Ghaziabad";1;"Intern";"2023-11-05";99457.0
37;"Vedika";"Bhatt";"Female";"1994-05-18";"tamannanarang@company.com";"4854097276";"Faridabad";4;"Executive";"2018-11-27";76721.0
38;"Qasim";"Chada";"Male";"1991-02-22";"tmann@company.com";"6740720265";"Jaipur";3;"Associate";"2025-05-11";101281.0
39;"Barkha";"Sangha";"Female";"2002-03-07";"darandrew@company.com";"2807408942";"Lucknow";4;"Executive";"2020-04-07";59171.0
40;"Vrinda";"Varkey";"Female";"1980-03-17";"dugalkalpit@company.com";"8200963741";"Bengaluru";3;"Team Lead";"2022-05-29";113946.0
41;"Ishanvi";"Khare";"Female";"2000-07-03";"paitarak@company.com";"1758146327";"Bengaluru";2;"Senior Executive";"2024-07-08";114714.0
42;"Charita";"Bhattacharyya";"Female";"1970-09-15";"xdua@company.com";"5759815467";"Chandigarh";4;"Associate";"2021-03-17";104185.0
43;"Laksh";"Thakur";"Male";"1982-04-06";"yutikanarayan@company.com";"0822931348";"Ghaziabad";2;"Manager";"2021-11-17";66095.0
44;"Christopher";"Dugal";"Male";"1985-03-20";"rajagopaloliver@company.com";"7687141690";"Faridabad";2;"Executive";"2019-04-21";44052.0
45;"Yuvraj";"Garde";"Male";"1980-07-03";"babuekantika@company.com";"2100318383";"Delhi";3;"Intern";"2023-05-31";37169.0
46;"Dhriti";"Aurora";"Female";"1994-08-09";"khatrigeetika@company.com";"6032041329";"Noida";4;"Associate";"2021-06-06";90119.0
47;"Neelima";"Rao";"Female";"1998-06-21";"neel53@company.com";"4698005710";"Bengaluru";6;"Executive";"2024-10-09";98007.0
48;"Urvashi";"Kari";"Female";"1999-03-06";"mannefiyaz@company.com";"6387593082";"Delhi";7;"Team Lead";"2026-02-22";74430.0
49;"Laksh";"Bhatnagar";"Male";"1998-07-25";"harishparekh@company.com";"5826755176";"Delhi";2;"Executive";"2021-09-22";81131.0
50;"Tanmayi";"Sarraf";"Female";"1990-12-30";"praneel43@company.com";"8148283736";"Bengaluru";6;"Associate";"2026-03-11";116536.0
51;"Charan";"Bhardwaj";"Male";"1973-09-06";"sundaramudyati@company.com";"4630546650";"Lucknow";5;"Manager";"2023-06-24";83926.0
52;"Hemani";"Verma";"Female";"1989-07-04";"hemang83@company.com";"1185988532";"Gurugram";6;"Executive";"2022-06-12";36027.0
53;"Veer";"Kalita";"Male";"1982-07-25";"omisha11@company.com";"8549133406";"Pune";1;"Team Lead";"2023-02-23";58834.0
54;"Ayush";"Kapur";"Male";"1976-10-14";"manne@company.com";"0698768965";"Chandigarh";5;"Associate";"2020-07-03";117968.0
55;"Nidra";"Badami";"Female";"1973-08-01";"akothari@company.com";"1146014451";"Jaipur";2;"Associate";"2020-02-04";69846.0
56;"Ronith";"Patel";"Male";"2005-02-02";"meeravaidya@company.com";"6016859811";"Faridabad";4;"Intern";"2019-02-11";40400.0
57;"Jagat";"Chadha";"Male";"1997-08-10";"eiravati86@company.com";"8799787677";"Chandigarh";1;"Manager";"2025-04-28";38343.0
58;"Yoshita";"Swamy";"Female";"1978-04-22";"lucky59@company.com";"4737802314";"Delhi";6;"Team Lead";"2021-10-15";115310.0
59;"Rehaan";"Bansal";"Male";"1978-02-22";"cbuch@company.com";"5727645619";"Noida";7;"Team Lead";"2024-01-05";48522.0
60;"Ryan";"Kalita";"Male";"1995-07-17";"amaharaj@company.com";"0090403842";"Faridabad";4;"Team Lead";"2025-02-15";30520.0
61;"Raksha";"Vyas";"Female";"1984-11-30";"pbaral@company.com";"3170835425";"Gurugram";2;"Executive";"2023-12-02";78490.0
62;"Isha";"Bhat";"Female";"1991-11-15";"anandveda@company.com";"4034342104";"Bengaluru";7;"Executive";"2020-06-03";56111.0
63;"Kala";"Hans";"Female";"1983-10-09";"samesh49@company.com";"2205529085";"Lucknow";4;"Associate";"2022-03-21";68525.0
64;"Anya";"Nagarajan";"Female";"1984-10-26";"qushicontractor@company.com";"8199097455";"Noida";3;"Associate";"2019-02-18";106412.0
65;"Dev";"Atwal";"Male";"1991-04-20";"knarang@company.com";"5553394062";"Gurugram";1;"Team Lead";"2020-12-16";112088.0
66;"Manan";"Subramanian";"Male";"1999-04-12";"qsarma@company.com";"6791156793";"Lucknow";5;"Intern";"2021-11-18";104373.0
67;"Dalbir";"Savant";"Male";"1996-07-19";"dalbirdevi@company.com";"0836413010";"Chandigarh";2;"Manager";"2022-03-29";57922.0
68;"Abeer";"Gokhale";"Male";"1998-12-24";"dalajakhurana@company.com";"9779908773";"Bengaluru";4;"Intern";"2021-01-22";34025.0
69;"Kashish";"Gola";"Female";"1988-10-14";"michaelsant@company.com";"0589385902";"Bengaluru";4;"Team Lead";"2018-12-30";63283.0
70;"Harrison";"Saxena";"Male";"2004-09-07";"savantdaniel@company.com";"4098396710";"Pune";6;"Intern";"2025-05-20";47361.0
71;"Yochana";"Garde";"Female";"1997-03-05";"frederick57@company.com";"9995363561";"Noida";3;"Intern";"2025-04-03";95466.0
72;"Yahvi";"Batra";"Female";"1973-04-10";"ochand@company.com";"7081977746";"Faridabad";5;"Team Lead";"2023-06-10";58811.0
73;"Damyanti";"Chakraborty";"Female";"1990-04-11";"sudiksha29@company.com";"9652408988";"Bengaluru";7;"Team Lead";"2019-05-20";34645.0
74;"Manbir";"Hayre";"Male";"2000-11-01";"esaxena@company.com";"1933151661";"Chandigarh";2;"Team Lead";"2023-07-09";99624.0
75;"Lajita";"Deshmukh";"Female";"1988-04-19";"mitaliramanathan@company.com";"0837312875";"Lucknow";7;"Manager";"2020-12-07";44324.0
76;"Ranveer";"Subramanian";"Male";"1994-12-31";"krishnori@company.com";"0070554557";"Pune";5;"Manager";"2019-04-14";94617.0
77;"Abhimanyu";"Patel";"Male";"1994-02-05";"gsarkar@company.com";"0070366750";"Jaipur";4;"Manager";"2021-07-09";57848.0
78;"Turvi";"Malhotra";"Female";"1973-08-24";"manilajita@company.com";"3205959148";"Gurugram";1;"Team Lead";"2020-03-17";112408.0
79;"Om";"Vyas";"Male";"1993-01-07";"geetikamukhopadhyay@company.com";"1790304411";"Jaipur";2;"Manager";"2022-01-17";40745.0
80;"Frederick";"Sathe";"Male";"1991-03-29";"bimalamammen@company.com";"1414932431";"Bengaluru";2;"Manager";"2023-10-22";105114.0
81;"Samesh";"Ahluwalia";"Male";"1979-12-27";"joshuawali@company.com";"8434011261";"Pune";2;"Manager";"2023-06-14";67808.0
82;"Yagnesh";"Rajan";"Male";"1983-07-30";"naidudevika@company.com";"3612911977";"Jaipur";7;"Manager";"2025-05-21";96024.0
83;"Widisha";"Agarwal";"Female";"1983-04-20";"vedajaggi@company.com";"1822903711";"Lucknow";6;"Team Lead";"2020-06-24";32392.0
84;"Vanya";"Sane";"Female";"1997-05-25";"vaishnavimurty@company.com";"2759064629";"Delhi";1;"Associate";"2018-12-30";51173.0
85;"Triveni";"Boase";"Female";"1991-05-13";"samakshsha@company.com";"2493689081";"Delhi";4;"Team Lead";"2021-06-24";44394.0
86;"Triya";"Kapadia";"Female";"1977-12-30";"qsahni@company.com";"0101425933";"Noida";6;"Team Lead";"2024-09-25";82298.0
